ID,item_cnt_month
0,0.5587413
1,0.11822859
2,0.76372373
3,0.1465751
4,0.11822859
5,0.5261942
6,0.99993443
7,0.2317954
8,1.0767785
9,0.11822859
10,2.8732514
11,0.20922026
12,0.10163152
13,0.477425
14,1.7222663
15,2.5245607
16,0.11822859
17,0.14127631
18,1.3512285
19,0.086308494
20,0.822804
21,0.11822859
22,0.9457909
23,0.8671477
24,1.3457446
25,0.11822859
26,0.11822859
27,0.60519385
28,0.8581983
29,3.0339334
30,0.51702344
31,0.11822859
32,0.5644066
33,0.7402239
34,0.14209983
35,0.12088763
36,0.1333668
37,0.61710334
38,0.21886295
39,0.13133186
40,0.58359694
41,1.1355449
42,3.3285263
43,3.498712
44,0.33368966
45,0.11822859
46,0.87186587
47,0.27098393
48,0.23758349
49,0.97291815
50,1.3932282
51,0.20922026
52,0.6462433
53,0.19422464
54,4.792469
55,2.4183657
56,2.6146479
57,2.3009725
58,4.683274
59,3.2684145
60,4.4831953
61,0.56937087
62,0.43155253
63,0.38801956
64,0.11822859
65,0.11822859
66,0.80537236
67,0.12801464
68,0.33368966
69,0.26002213
70,0.11822859
71,1.808207
72,0.49966028
73,1.1853878
74,0.11822859
75,0.11822859
76,0.38123724
77,0.11822859
78,0.5019324
79,0.5141458
80,0.8827311
81,3.3129854
82,0.7382308
83,0.2589443
84,1.0455575
85,1.2335036
86,0.7462046
87,0.11265586
88,3.4201915
89,1.3643932
90,0.7731788
91,0.39815348
92,2.3234398
93,0.1465751
94,0.3208461
95,0.09181878
96,0.12801464
97,0.5539484
98,0.6777066
99,1.5611961
100,0.71155167
101,0.71252704
102,0.31423554
103,0.39815348
104,0.13748522
105,0.11822859
106,0.11822859
107,0.74273753
108,0.138788
109,0.11822859
110,0.22311273
111,0.11822859
112,0.11822859
113,0.11822859
114,0.36938876
115,0.31173742
116,0.11822859
117,0.13914827
118,10.1688175
119,0.15907316
120,0.09272805
121,0.15040687
122,0.42353427
123,0.6202364
124,0.5598221
125,1.1119901
126,0.11822859
127,0.08492923
128,0.11822859
129,0.19028954
130,0.39815348
131,0.11822859
132,0.39815348
133,2.9967234
134,0.12795793
135,0.39815348
136,0.20922026
137,0.11822859
138,0.89442635
139,0.11822859
140,0.27398258
141,0.44839448
142,0.1420404
143,0.20922026
144,0.11822859
145,0.11822859
146,0.11822859
147,0.18682384
148,0.11822859
149,0.11822859
150,0.17936225
151,0.11822859
152,5.910296
153,0.24090405
154,0.11822859
155,0.3277931
156,0.32804406
157,0.11342374
158,0.14219438
159,0.39066553
160,0.11822859
161,0.20922026
162,0.11822859
163,0.5649639
164,0.46399778
165,0.09364331
166,0.5270021
167,0.11321235
168,0.11822859
169,0.10012326
170,0.20922026
171,0.67090976
172,0.39055407
173,1.1578261
174,1.3447407
175,2.2965622
176,1.1283082
177,0.11822859
178,0.4422718
179,0.13876459
180,1.0568818
181,0.37311667
182,0.11822859
183,0.23916385
184,0.17450647
185,0.11822859
186,0.15870234
187,0.3121953
188,0.11822859
189,0.11822859
190,0.11822859
191,0.7215308
192,0.58359694
193,0.20902494
194,0.11342374
195,0.15661535
196,0.39815348
197,2.762801
198,1.1550446
199,0.11822859
200,0.11822859
201,0.11822859
202,0.23928514
203,1.2975601
204,0.22738951
205,0.11822859
206,0.11822859
207,0.100065425
208,1.2840292
209,0.524763
210,0.26130515
211,0.1523106
212,0.1388154
213,0.39815348
214,0.15527797
215,0.71609724
216,0.4700584
217,0.32417554
218,2.1259575
219,0.53461033
220,0.43372935
221,0.11822859
222,0.11822859
223,0.70597637
224,2.4533062
225,0.42094916
226,0.4146433
227,0.11822859
228,0.1855819
229,0.11822859
230,0.11822859
231,0.56378675
232,0.11822859
233,0.38050598
234,0.11822859
235,0.1752141
236,0.34787646
237,0.49897334
238,0.39815348
239,0.37186047
240,0.7960459
241,0.0964061
242,0.11822859
243,0.11822859
244,0.11822859
245,0.3037147
246,1.5560724
247,0.5317318
248,0.61586213
249,0.06507097
250,0.7212713
251,0.16609994
252,0.36703816
253,1.1391371
254,0.5267838
255,5.910296
256,0.11822859
257,0.2177576
258,0.5689744
259,0.2910637
260,0.10325636
261,0.11457247
262,0.23121384
263,0.11822859
264,0.13938567
265,0.4745521
266,0.11822859
267,0.20922026
268,0.12088763
269,0.108762726
270,1.0735308
271,0.13640746
272,0.13350265
273,0.71252704
274,11.447041
275,0.11822859
276,0.39815348
277,1.4428402
278,0.34429502
279,0.18927678
280,0.16820413
281,0.14907503
282,0.24262367
283,0.6868731
284,0.16820413
285,0.21775958
286,0.11822859
287,0.83482385
288,0.25893208
289,0.39815348
290,0.11822859
291,0.11959112
292,0.36314523
293,0.22841905
294,0.8114357
295,1.046807
296,0.17657432
297,0.29990405
298,0.11822859
299,0.11822859
300,0.08846973
301,0.5930884
302,0.7960098
303,0.69662684
304,0.11342374
305,0.100065425
306,0.30887532
307,0.1379821
308,0.30606812
309,0.11822859
310,0.11822859
311,0.4090373
312,0.7571603
313,0.18927678
314,0.11822859
315,0.39815348
316,0.22091083
317,2.2015836
318,0.13741793
319,0.2042777
320,0.11822859
321,0.10707271
322,0.7500422
323,0.10874598
324,0.4941915
325,0.43489605
326,0.39337656
327,0.11822859
328,0.11822859
329,0.41516212
330,0.11822859
331,0.11822859
332,0.14542553
333,0.29746392
334,0.90624213
335,0.310742
336,0.17865457
337,0.7553104
338,0.38800362
339,0.3576615
340,0.14611267
341,0.24858649
342,0.11822859
343,1.003325
344,0.17893994
345,0.09849551
346,3.9169748
347,3.0858655
348,0.1885931
349,0.3495311
350,0.11822859
351,0.4068423
352,0.11822859
353,0.21587871
354,0.11822859
355,0.11822859
356,0.39815348
357,0.8114357
358,0.6180064
359,0.39815348
360,0.1465751
361,2.665528
362,0.71252704
363,0.90624213
364,0.61372876
365,0.4829083
366,0.11822859
367,0.11822859
368,0.11822859
369,0.23467605
370,0.11822859
371,0.39815348
372,0.71252704
373,0.11822859
374,1.4145563
375,2.0489736
376,0.36002687
377,0.21775958
378,0.46601155
379,0.11822859
380,2.8500714
381,0.4829083
382,0.49265242
383,0.11822859
384,1.7054721
385,0.4980883
386,0.47773713
387,0.11822859
388,0.23689587
389,0.15673047
390,0.11822859
391,0.12687565
392,0.35473743
393,0.42109516
394,0.11822859
395,0.11822859
396,1.9517326
397,0.5286499
398,0.11822859
399,0.41576567
400,0.11822859
401,0.42872936
402,1.4520218
403,2.2472656
404,0.4069792
405,0.17930326
406,0.15221135
407,0.065637454
408,0.17566635
409,0.11822859
410,0.11822859
411,0.9714725
412,0.22393441
413,0.22404766
414,0.11822859
415,4.162209
416,0.11822859
417,0.11822859
418,0.11822859
419,0.11822859
420,0.5047704
421,1.424487
422,0.39815348
423,0.9020773
424,0.1260863
